folder_path,image_id,class,purpose
Training/Fire,fire1.jpg,"['fire', 'smoke']",train
Training/Fire,fire10.jpg,fire,val
Training/Fire,fire100.jpg,fire,val
Training/Fire,fire1000.jpg,fire,train
Training/Fire,fire1001.jpg,"['fire', 'smoke']",val
Training/Fire,fire1002.jpg,fire,train
Training/Fire,fire1003.jpg,fire,train
Training/Fire,fire1004.jpg,"['fire', 'smoke']",val
Training/Fire,fire1005.jpg,"['fire', 'smoke']",val
Training/Fire,fire1006.jpg,fire,val
Training/Fire,fire1007.jpg,fire,train
Training/Fire,fire1008.jpg,"['fire', 'smoke']",val
Training/Fire,fire1009.jpg,"['fire', 'smoke']",val
Training/Fire,fire101.jpg,fire,train
Training/Fire,fire1010.jpg,"['fire', 'smoke']",train
Training/Fire,fire1011.jpg,fire,val
Training/Fire,fire1012.jpg,fire,train
Training/Fire,fire1013.jpg,fire,train
Training/Fire,fire1014.jpg,fire,train
Training/Fire,fire1015.jpg,fire,val
Training/Fire,fire1016.jpg,fire,val
Training/Fire,fire1017.jpg,"['fire', 'smoke']",train
Training/Fire,fire1018.jpg,fire,val
Training/Fire,fire1019.jpg,"['fire', 'smoke']",train
Training/Fire,fire102.jpg,"['fire', 'smoke']",train
Training/Fire,fire1020.jpg,none,train
Training/Fire,fire1021.jpg,none,train
Training/Fire,fire1022.jpg,none,train
Training/Fire,fire1023.jpg,none,train
Training/Fire,fire1024.jpg,fire,train
Training/Fire,fire1025.jpg,fire,val
Training/Fire,fire1026.jpg,fire,train
Training/Fire,fire1027.jpg,"['fire', 'smoke']",train
Training/Fire,fire1028.jpg,"['fire', 'smoke']",train
Training/Fire,fire1029.jpg,"['fire', 'smoke']",val
Training/Fire,fire103.jpg,"['fire', 'smoke']",train
Training/Fire,fire1030.jpg,fire,val
Training/Fire,fire1031.jpg,fire,val
Training/Fire,fire1032.jpg,"['fire', 'smoke']",val
Training/Fire,fire1033.jpg,"['fire', 'smoke']",val
Training/Fire,fire1034.jpg,"['fire', 'smoke']",train
Training/Fire,fire1035.jpg,fire,train
Training/Fire,fire1036.jpg,fire,train
Training/Fire,fire1037.jpg,fire,train
Training/Fire,fire1038.jpg,fire,train
Training/Fire,fire1039.jpg,"['fire', 'smoke']",train
Training/Fire,fire104.jpg,"['fire', 'smoke']",train
Training/Fire,fire1040.jpg,"['fire', 'smoke']",train
Training/Fire,fire1041.jpg,"['fire', 'smoke']",val
Training/Fire,fire1042.jpg,"['fire', 'smoke']",train
Training/Fire,fire1043.jpg,"['fire', 'smoke']",train
Training/Fire,fire1044.jpg,fire,val
Training/Fire,fire1045.jpg,"['fire', 'smoke']",val
Training/Fire,fire1046.jpg,fire,train
Training/Fire,fire1047.jpg,fire,train
Training/Fire,fire1048.jpg,fire,train
Training/Fire,fire1049.jpg,"['fire', 'smoke']",train
Training/Fire,fire105.jpg,"['fire', 'smoke']",train
Training/Fire,fire1050.jpg,"['fire', 'smoke']",val
Training/Fire,fire1051.jpg,"['fire', 'smoke']",train
Training/Fire,fire1052.jpg,"['fire', 'smoke']",train
Training/Fire,fire1053.jpg,"['fire', 'smoke']",train
Training/Fire,fire1054.jpg,"['fire', 'smoke']",val
Training/Fire,fire1055.jpg,"['fire', 'smoke']",train
Training/Fire,fire1056.jpg,fire,train
Training/Fire,fire1057.jpg,"['fire', 'smoke']",val
Training/Fire,fire1058.jpg,"['fire', 'smoke']",train
Training/Fire,fire1059.jpg,fire,train
Training/Fire,fire106.jpg,"['fire', 'smoke']",train
Training/Fire,fire1060.jpg,"['fire', 'smoke']",val
Training/Fire,fire1061.jpg,fire,train
Training/Fire,fire1062.jpg,"['fire', 'smoke']",train
Training/Fire,fire1063.jpg,"['fire', 'smoke']",train
Training/Fire,fire1064.jpg,"['fire', 'smoke']",val
Training/Fire,fire1065.jpg,"['fire', 'smoke']",train
Training/Fire,fire1066.jpg,"['fire', 'smoke']",val
Training/Fire,fire1067.jpg,fire,train
Training/Fire,fire1068.jpg,"['fire', 'smoke']",train
Training/Fire,fire1069.jpg,fire,val
Training/Fire,fire107.jpg,"['fire', 'smoke']",val
Training/Fire,fire1070.jpg,"['fire', 'smoke']",val
Training/Fire,fire1071.jpg,"['fire', 'smoke']",train
Training/Fire,fire1072.jpg,"['fire', 'smoke']",train
Training/Fire,fire1073.jpg,fire,train
Training/Fire,fire1074.jpg,fire,train
Training/Fire,fire1075.jpg,fire,val
Training/Fire,fire1076.jpg,"['fire', 'smoke']",train
Training/Fire,fire1077.jpg,"['fire', 'smoke']",train
Training/Fire,fire1078.jpg,"['fire', 'smoke']",train
Training/Fire,fire1079.jpg,"['fire', 'smoke']",train
Training/Fire,fire108.jpg,fire,val
Training/Fire,fire1080.jpg,fire,train
Training/Fire,fire1081.jpg,"['fire', 'smoke']",train
Training/Fire,fire1082.jpg,"['fire', 'smoke']",val
Training/Fire,fire1083.jpg,fire,train
Training/Fire,fire1084.jpg,"['fire', 'smoke']",val
Training/Fire,fire1085.jpg,fire,train
Training/Fire,fire1086.jpg,"['fire', 'smoke']",val
Training/Fire,fire1087.jpg,"['fire', 'smoke']",train
Training/Fire,fire1088.jpg,"['fire', 'smoke']",val
Training/Fire,fire1089.jpg,"['fire', 'smoke']",train
Training/Fire,fire109.jpg,fire,train
Training/Fire,fire1090.jpg,"['fire', 'smoke']",train
Training/Fire,fire1091.jpg,"['fire', 'smoke']",train
Training/Fire,fire1092.jpg,fire,val
Training/Fire,fire1093.jpg,"['fire', 'smoke']",train
Training/Fire,fire1094.jpg,"['fire', 'smoke']",train
Training/Fire,fire1095.jpg,"['fire', 'smoke']",train
Training/Fire,fire1096.jpg,"['fire', 'smoke']",train
Training/Fire,fire1097.jpg,fire,val
Training/Fire,fire1098.jpg,fire,train
Training/Fire,fire1099.jpg,"['fire', 'smoke']",val
Training/Fire,fire11.jpg,fire,train
Training/Fire,fire110.jpg,fire,train
Training/Fire,fire1100.jpg,"['fire', 'smoke']",val
Training/Fire,fire1101.jpg,"['fire', 'smoke']",val
Training/Fire,fire1102.jpg,"['fire', 'smoke']",train
Training/Fire,fire1103.jpg,"['fire', 'smoke']",train
Training/Fire,fire1104.jpg,"['fire', 'smoke']",train
Training/Fire,fire1105.jpg,"['fire', 'smoke']",train
Training/Fire,fire1106.jpg,"['fire', 'smoke']",val
Training/Fire,fire1107.jpg,"['fire', 'smoke']",train
Training/Fire,fire1108.jpg,fire,train
Training/Fire,fire1109.jpg,fire,train
Training/Fire,fire111.jpg,fire,train
Training/Fire,fire1110.jpg,"['fire', 'smoke']",train
Training/Fire,fire1111.jpg,"['fire', 'smoke']",val
Training/Fire,fire1112.jpg,fire,train
Training/Fire,fire1113.jpg,"['fire', 'smoke']",train
Training/Fire,fire1114.jpg,"['fire', 'smoke']",val
Training/Fire,fire1115.jpg,fire,val
Training/Fire,fire1116.jpg,"['fire', 'smoke']",train
Training/Fire,fire1117.jpg,fire,train
Training/Fire,fire1118.jpg,"['fire', 'smoke']",train
Training/Fire,fire1119.jpg,"['fire', 'smoke']",train
Training/Fire,fire112.jpg,"['fire', 'smoke']",train
Training/Fire,fire1120.jpg,"['fire', 'smoke']",train
Training/Fire,fire1121.jpg,"['fire', 'smoke']",train
Training/Fire,fire1122.jpg,"['fire', 'smoke']",train
Training/Fire,fire1123.jpg,"['fire', 'smoke']",train
Training/Fire,fire1124.jpg,fire,val
Training/Fire,fire113.jpg,smoke,train
Training/Fire,fire114.jpg,"['fire', 'smoke']",val
Training/Fire,fire115.jpg,fire,val
Training/Fire,fire116.jpg,"['fire', 'smoke']",train
Training/Fire,fire117.jpg,smoke,val
Training/Fire,fire118.jpg,fire,train
Training/Fire,fire119.jpg,"['fire', 'smoke']",train
Training/Fire,fire12.jpg,fire,train
Training/Fire,fire120.jpg,"['fire', 'smoke']",train
Training/Fire,fire121.jpg,"['fire', 'smoke']",train
Training/Fire,fire122.jpg,fire,train
Training/Fire,fire123.jpg,"['fire', 'smoke']",train
Training/Fire,fire124.jpg,"['fire', 'smoke']",val
Training/Fire,fire125.jpg,fire,train
Training/Fire,fire126.jpg,"['fire', 'smoke']",val
Training/Fire,fire127.jpg,"['fire', 'smoke']",val
Training/Fire,fire128.jpg,"['fire', 'smoke']",train
Training/Fire,fire129.jpg,"['fire', 'smoke']",train
Training/Fire,fire13.jpg,"['fire', 'smoke']",val
Training/Fire,fire130.jpg,"['fire', 'smoke']",train
Training/Fire,fire131.jpg,fire,val
Training/Fire,fire132.jpg,"['fire', 'smoke']",train
Training/Fire,fire133.jpg,"['fire', 'smoke']",train
Training/Fire,fire134.jpg,"['fire', 'smoke']",val
Training/Fire,fire135.jpg,fire,train
Training/Fire,fire136.jpg,"['fire', 'smoke']",train
Training/Fire,fire137.jpg,"['fire', 'smoke']",val
Training/Fire,fire138.jpg,fire,train
Training/Fire,fire139.jpg,"['fire', 'smoke']",val
Training/Fire,fire14.jpg,"['fire', 'smoke']",train
Training/Fire,fire140.jpg,"['fire', 'smoke']",val
Training/Fire,fire141.jpg,smoke,val
Training/Fire,fire142.jpg,"['fire', 'smoke']",train
Training/Fire,fire143.jpg,fire,train
Training/Fire,fire144.jpg,"['fire', 'smoke']",val
Training/Fire,fire145.jpg,"['fire', 'smoke']",train
Training/Fire,fire146.jpg,"['fire', 'smoke']",val
Training/Fire,fire147.jpg,"['fire', 'smoke']",train
Training/Fire,fire148.jpg,fire,train
Training/Fire,fire149.jpg,"['fire', 'smoke']",train
Training/Fire,fire15.jpg,"['fire', 'smoke']",train
Training/Fire,fire150.jpg,"['fire', 'smoke']",train
Training/Fire,fire151.jpg,"['fire', 'smoke']",train
Training/Fire,fire152.jpg,"['fire', 'smoke']",val
Training/Fire,fire153.jpg,"['fire', 'smoke']",train
Training/Fire,fire154.jpg,fire,val
Training/Fire,fire155.jpg,fire,train
Training/Fire,fire156.jpg,"['fire', 'smoke']",train
Training/Fire,fire157.jpg,"['fire', 'smoke']",val
Training/Fire,fire158.jpg,"['fire', 'smoke']",train
Training/Fire,fire159.jpg,fire,val
Training/Fire,fire16.jpg,"['fire', 'smoke']",train
Training/Fire,fire160.jpg,"['fire', 'smoke']",train
Training/Fire,fire161.jpg,"['fire', 'smoke']",train
Training/Fire,fire162.jpg,"['fire', 'smoke']",train
Training/Fire,fire163.jpg,fire,train
Training/Fire,fire164.jpg,"['fire', 'smoke']",train
Training/Fire,fire165.jpg,"['fire', 'smoke']",train
Training/Fire,fire166.jpg,fire,train
Training/Fire,fire167.jpg,"['fire', 'smoke']",train
Training/Fire,fire168.jpg,"['fire', 'smoke']",train
Training/Fire,fire169.jpg,"['fire', 'smoke']",train
Training/Fire,fire17.jpg,"['fire', 'smoke']",train
Training/Fire,fire170.jpg,"['fire', 'smoke']",train
Training/Fire,fire171.jpg,"['fire', 'smoke']",train
Training/Fire,fire172.jpg,"['fire', 'smoke']",train
Training/Fire,fire173.jpg,"['fire', 'smoke']",train
Training/Fire,fire174.jpg,"['fire', 'smoke']",train
Training/Fire,fire175.jpg,none,train
Training/Fire,fire176.jpg,"['fire', 'smoke']",val
Training/Fire,fire177.jpg,fire,train
Training/Fire,fire178.jpg,smoke,train
Training/Fire,fire179.jpg,"['fire', 'smoke']",train
Training/Fire,fire18.jpg,fire,val
Training/Fire,fire180.jpg,"['fire', 'smoke']",val
Training/Fire,fire181.jpg,"['fire', 'smoke']",train
Training/Fire,fire182.jpg,"['fire', 'smoke']",val
Training/Fire,fire183.jpg,fire,train
Training/Fire,fire184.jpg,"['fire', 'smoke']",train
Training/Fire,fire185.jpg,"['fire', 'smoke']",train
Training/Fire,fire186.jpg,fire,val
Training/Fire,fire187.jpg,none,val
Training/Fire,fire188.jpg,fire,val
Training/Fire,fire189.jpg,"['fire', 'smoke']",train
Training/Fire,fire19.jpg,"['fire', 'smoke']",val
Training/Fire,fire190.jpg,smoke,val
Training/Fire,fire191.jpg,"['fire', 'smoke']",train
Training/Fire,fire192.jpg,"['fire', 'smoke']",train
Training/Fire,fire193.jpg,"['fire', 'smoke']",val
Training/Fire,fire194.jpg,"['fire', 'smoke']",val
Training/Fire,fire195.jpg,"['fire', 'smoke']",train
Training/Fire,fire196.jpg,"['fire', 'smoke']",train
Training/Fire,fire197.jpg,fire,train
Training/Fire,fire198.jpg,"['fire', 'smoke']",val
Training/Fire,fire199.jpg,"['fire', 'smoke']",train
Training/Fire,fire2.jpg,"['fire', 'smoke']",train
Training/Fire,fire20.jpg,fire,val
Training/Fire,fire200.jpg,"['fire', 'smoke']",train
Training/Fire,fire201.jpg,"['fire', 'smoke']",train
Training/Fire,fire202.jpg,"['fire', 'smoke']",train
Training/Fire,fire203.jpg,smoke,val
Training/Fire,fire204.jpg,"['fire', 'smoke']",train
Training/Fire,fire205.jpg,"['fire', 'smoke']",train
Training/Fire,fire206.jpg,"['fire', 'smoke']",train
Training/Fire,fire207.jpg,"['fire', 'smoke']",val
Training/Fire,fire208.jpg,"['fire', 'smoke']",train
Training/Fire,fire209.jpg,"['fire', 'smoke']",val
Training/Fire,fire21.jpg,fire,train
Training/Fire,fire210.jpg,fire,train
Training/Fire,fire211.jpg,smoke,train
Training/Fire,fire212.jpg,"['fire', 'smoke']",train
Training/Fire,fire213.jpg,"['fire', 'smoke']",train
Training/Fire,fire214.jpg,fire,val
Training/Fire,fire215.jpg,none,train
Training/Fire,fire216.jpg,"['fire', 'smoke']",val
Training/Fire,fire217.jpg,"['fire', 'smoke']",train
Training/Fire,fire218.jpg,"['fire', 'smoke']",train
Training/Fire,fire219.jpg,"['fire', 'smoke']",val
Training/Fire,fire22.jpg,"['fire', 'smoke']",train
Training/Fire,fire220.jpg,"['fire', 'smoke']",train
Training/Fire,fire221.jpg,"['fire', 'smoke']",train
Training/Fire,fire222.jpg,fire,train
Training/Fire,fire223.jpg,"['fire', 'smoke']",train
Training/Fire,fire224.jpg,"['fire', 'smoke']",val
Training/Fire,fire225.jpg,"['fire', 'smoke']",train
Training/Fire,fire226.jpg,"['fire', 'smoke']",train
Training/Fire,fire227.jpg,fire,train
Training/Fire,fire228.jpg,"['fire', 'smoke']",train
Training/Fire,fire229.jpg,fire,train
Training/Fire,fire23.jpg,"['fire', 'smoke']",train
Training/Fire,fire230.jpg,fire,train
Training/Fire,fire231.jpg,fire,train
Training/Fire,fire232.jpg,"['fire', 'smoke']",train
Training/Fire,fire233.jpg,"['fire', 'smoke']",train
Training/Fire,fire234.jpg,"['fire', 'smoke']",val
Training/Fire,fire235.jpg,"['fire', 'smoke']",train
Training/Fire,fire236.jpg,"['fire', 'smoke']",val
Training/Fire,fire237.jpg,"['fire', 'smoke']",train
Training/Fire,fire238.jpg,"['fire', 'smoke']",train
Training/Fire,fire239.jpg,fire,train
Training/Fire,fire24.jpg,"['fire', 'smoke']",train
Training/Fire,fire240.jpg,smoke,val
Training/Fire,fire241.jpg,"['fire', 'smoke']",val
Training/Fire,fire242.jpg,fire,train
Training/Fire,fire243.jpg,fire,train
Training/Fire,fire244.jpg,"['fire', 'smoke']",train
Training/Fire,fire245.jpg,"['fire', 'smoke']",train
Training/Fire,fire246.jpg,"['fire', 'smoke']",train
Training/Fire,fire247.jpg,"['fire', 'smoke']",train
Training/Fire,fire248.jpg,"['fire', 'smoke']",train
Training/Fire,fire249.jpg,"['fire', 'smoke']",val
Training/Fire,fire25.jpg,"['fire', 'smoke']",train
Training/Fire,fire250.jpg,fire,train
Training/Fire,fire251.jpg,fire,train
Training/Fire,fire252.jpg,"['fire', 'smoke']",train
Training/Fire,fire253.jpg,"['fire', 'smoke']",train
Training/Fire,fire254.jpg,fire,val
Training/Fire,fire255.jpg,fire,train
Training/Fire,fire256.jpg,fire,train
Training/Fire,fire257.jpg,"['fire', 'smoke']",train
Training/Fire,fire258.jpg,fire,train
Training/Fire,fire259.jpg,fire,val
Training/Fire,fire26.jpg,fire,val
Training/Fire,fire260.jpg,fire,train
Training/Fire,fire261.jpg,fire,train
Training/Fire,fire262.jpg,"['fire', 'smoke']",train
Training/Fire,fire263.jpg,fire,train
Training/Fire,fire264.jpg,fire,train
Training/Fire,fire265.jpg,fire,train
Training/Fire,fire266.jpg,"['fire', 'smoke']",val
Training/Fire,fire267.jpg,"['fire', 'smoke']",train
Training/Fire,fire268.jpg,"['fire', 'smoke']",train
Training/Fire,fire269.jpg,"['fire', 'smoke']",val
Training/Fire,fire27.jpg,"['fire', 'smoke']",train
Training/Fire,fire270.jpg,fire,train
Training/Fire,fire271.jpg,fire,val
Training/Fire,fire272.jpg,fire,train
Training/Fire,fire273.jpg,fire,train
Training/Fire,fire274.jpg,fire,val
Training/Fire,fire275.jpg,fire,train
Training/Fire,fire276.jpg,fire,val
Training/Fire,fire277.jpg,"['fire', 'smoke']",train
Training/Fire,fire278.jpg,fire,train
Training/Fire,fire279.jpg,"['fire', 'smoke']",train
Training/Fire,fire28.jpg,"['fire', 'smoke']",val
Training/Fire,fire280.jpg,fire,train
Training/Fire,fire281.jpg,fire,val
Training/Fire,fire282.jpg,fire,train
Training/Fire,fire283.jpg,fire,train
Training/Fire,fire284.jpg,fire,val
Training/Fire,fire285.jpg,fire,train
Training/Fire,fire286.jpg,fire,val
Training/Fire,fire287.jpg,fire,val
Training/Fire,fire288.jpg,"['fire', 'smoke']",val
Training/Fire,fire289.jpg,fire,val
Training/Fire,fire29.jpg,fire,val
Training/Fire,fire290.jpg,"['fire', 'smoke']",val
Training/Fire,fire291.jpg,fire,val
Training/Fire,fire292.jpg,fire,train
Training/Fire,fire293.jpg,fire,train
Training/Fire,fire294.jpg,fire,train
Training/Fire,fire295.jpg,none,train
Training/Fire,fire296.jpg,fire,val
Training/Fire,fire297.jpg,fire,val
Training/Fire,fire298.jpg,fire,val
Training/Fire,fire299.jpg,"['fire', 'smoke']",val
Training/Fire,fire3.jpg,fire,train
Training/Fire,fire30.jpg,smoke,train
Training/Fire,fire300.jpg,fire,train
Training/Fire,fire301.jpg,"['fire', 'smoke']",train
Training/Fire,fire302.jpg,fire,val
Training/Fire,fire303.jpg,fire,train
Training/Fire,fire304.jpg,fire,val
Training/Fire,fire305.jpg,fire,train
Training/Fire,fire306.jpg,fire,train
Training/Fire,fire307.jpg,fire,train
Training/Fire,fire308.jpg,fire,val
Training/Fire,fire309.jpg,fire,val
Training/Fire,fire31.jpg,fire,train
Training/Fire,fire310.jpg,fire,train
Training/Fire,fire311.jpg,fire,train
Training/Fire,fire312.jpg,"['fire', 'smoke']",train
Training/Fire,fire313.jpg,fire,train
Training/Fire,fire314.jpg,"['fire', 'smoke']",train
Training/Fire,fire315.jpg,fire,val
Training/Fire,fire316.jpg,fire,train
Training/Fire,fire317.jpg,fire,train
Training/Fire,fire318.jpg,fire,train
Training/Fire,fire319.jpg,fire,val
Training/Fire,fire32.jpg,"['fire', 'smoke']",val
Training/Fire,fire320.jpg,fire,train
Training/Fire,fire321.jpg,"['fire', 'smoke']",train
Training/Fire,fire322.jpg,fire,train
Training/Fire,fire323.jpg,"['fire', 'smoke']",train
Training/Fire,fire324.jpg,fire,val
Training/Fire,fire325.jpg,fire,val
Training/Fire,fire326.jpg,fire,train
Training/Fire,fire327.jpg,"['fire', 'smoke']",val
Training/Fire,fire328.jpg,fire,val
Training/Fire,fire329.jpg,fire,train
Training/Fire,fire33.jpg,"['fire', 'smoke']",train
Training/Fire,fire330.jpg,fire,train
Training/Fire,fire331.jpg,"['fire', 'smoke']",train
Training/Fire,fire332.jpg,none,val
Training/Fire,fire333.jpg,fire,val
Training/Fire,fire334.jpg,"['fire', 'smoke']",train
