folder_path,image_id,class,purpose
SmokeSet3/images,000001.png,smoke,train
SmokeSet3/images,000002.png,smoke,train
SmokeSet3/images,000003.png,smoke,train
SmokeSet3/images,000004.png,smoke,train
SmokeSet3/images,000005.png,smoke,val
SmokeSet3/images,000006.png,smoke,val
SmokeSet3/images,000007.png,smoke,train
SmokeSet3/images,000008.png,smoke,train
SmokeSet3/images,000009.png,smoke,train
SmokeSet3/images,000010.png,smoke,train
SmokeSet3/images,000011.png,smoke,train
SmokeSet3/images,000012.png,smoke,train
SmokeSet3/images,000013.png,smoke,train
SmokeSet3/images,000014.png,smoke,train
SmokeSet3/images,000015.png,smoke,train
SmokeSet3/images,000016.png,smoke,train
SmokeSet3/images,000017.png,smoke,train
SmokeSet3/images,000018.png,smoke,train
SmokeSet3/images,000019.png,smoke,train
SmokeSet3/images,000020.png,smoke,val
SmokeSet3/images,000021.png,smoke,train
SmokeSet3/images,000022.png,smoke,train
SmokeSet3/images,000023.png,smoke,train
SmokeSet3/images,000024.png,smoke,val
SmokeSet3/images,000025.png,smoke,val
SmokeSet3/images,000026.png,smoke,train
SmokeSet3/images,000027.png,smoke,val
SmokeSet3/images,000028.png,smoke,train
SmokeSet3/images,000029.png,smoke,val
SmokeSet3/images,000030.png,smoke,train
SmokeSet3/images,000031.png,smoke,train
SmokeSet3/images,000032.png,smoke,train
SmokeSet3/images,000033.png,smoke,train
SmokeSet3/images,000034.png,smoke,train
SmokeSet3/images,000035.png,smoke,train
SmokeSet3/images,000036.png,smoke,val
SmokeSet3/images,000037.png,smoke,train
SmokeSet3/images,000038.png,smoke,train
SmokeSet3/images,000039.png,smoke,train
SmokeSet3/images,000040.png,smoke,train
SmokeSet3/images,000041.png,smoke,val
SmokeSet3/images,000042.png,smoke,train
SmokeSet3/images,000043.png,smoke,train
SmokeSet3/images,000044.png,smoke,train
SmokeSet3/images,000045.png,smoke,val
SmokeSet3/images,000046.png,smoke,train
SmokeSet3/images,000047.png,smoke,train
SmokeSet3/images,000048.png,smoke,train
SmokeSet3/images,000049.png,smoke,train
SmokeSet3/images,000050.png,smoke,train
SmokeSet3/images,000051.png,smoke,train
SmokeSet3/images,000052.png,smoke,train
SmokeSet3/images,000053.png,smoke,train
SmokeSet3/images,000054.png,smoke,val
SmokeSet3/images,000055.png,smoke,train
SmokeSet3/images,000056.png,smoke,val
SmokeSet3/images,000057.png,smoke,train
SmokeSet3/images,000058.png,smoke,val
SmokeSet3/images,000059.png,smoke,val
SmokeSet3/images,000060.png,smoke,train
SmokeSet3/images,000061.png,smoke,train
SmokeSet3/images,000062.png,smoke,train
SmokeSet3/images,000063.png,smoke,train
SmokeSet3/images,000064.png,smoke,train
SmokeSet3/images,000065.png,smoke,val
SmokeSet3/images,000066.png,smoke,train
SmokeSet3/images,000067.png,smoke,train
SmokeSet3/images,000068.png,smoke,train
SmokeSet3/images,000069.png,smoke,train
SmokeSet3/images,000070.png,smoke,train
SmokeSet3/images,000071.png,smoke,val
SmokeSet3/images,000072.png,smoke,val
SmokeSet3/images,000073.png,smoke,train
SmokeSet3/images,000074.png,smoke,train
SmokeSet3/images,000075.png,smoke,train
SmokeSet3/images,000076.png,smoke,val
SmokeSet3/images,000077.png,smoke,train
SmokeSet3/images,000078.png,smoke,val
SmokeSet3/images,000079.png,smoke,train
SmokeSet3/images,000080.png,smoke,train
SmokeSet3/images,000081.png,smoke,train
SmokeSet3/images,000082.png,smoke,train
SmokeSet3/images,000083.png,smoke,val
SmokeSet3/images,000084.png,smoke,train
SmokeSet3/images,000085.png,smoke,train
SmokeSet3/images,000086.png,smoke,train
SmokeSet3/images,000087.png,smoke,train
SmokeSet3/images,000088.png,smoke,train
SmokeSet3/images,000089.png,smoke,train
SmokeSet3/images,000090.png,smoke,train
SmokeSet3/images,000091.png,smoke,train
SmokeSet3/images,000092.png,smoke,train
SmokeSet3/images,000093.png,smoke,val
SmokeSet3/images,000094.png,smoke,train
SmokeSet3/images,000095.png,smoke,val
SmokeSet3/images,000096.png,smoke,train
SmokeSet3/images,000097.png,smoke,train
SmokeSet3/images,000098.png,smoke,val
SmokeSet3/images,000099.png,smoke,train
SmokeSet3/images,000100.png,smoke,train
SmokeSet3/images,000101.png,smoke,train
SmokeSet3/images,000102.png,smoke,train
SmokeSet3/images,000103.png,smoke,val
SmokeSet3/images,000104.png,smoke,train
SmokeSet3/images,000105.png,smoke,train
SmokeSet3/images,000106.png,smoke,train
SmokeSet3/images,000107.png,smoke,train
SmokeSet3/images,000108.png,smoke,train
SmokeSet3/images,000109.png,smoke,train
SmokeSet3/images,000110.png,smoke,train
SmokeSet3/images,000111.png,smoke,train
SmokeSet3/images,000112.png,smoke,train
SmokeSet3/images,000113.png,smoke,train
SmokeSet3/images,000114.png,smoke,train
SmokeSet3/images,000115.png,smoke,train
SmokeSet3/images,000116.png,smoke,train
SmokeSet3/images,000117.png,smoke,train
SmokeSet3/images,000118.png,smoke,train
SmokeSet3/images,000119.png,smoke,train
SmokeSet3/images,000120.png,smoke,val
SmokeSet3/images,000121.png,smoke,train
SmokeSet3/images,000122.png,smoke,train
SmokeSet3/images,000123.png,smoke,train
SmokeSet3/images,000124.png,smoke,val
SmokeSet3/images,000125.png,smoke,train
SmokeSet3/images,000126.png,smoke,train
SmokeSet3/images,000127.png,smoke,train
SmokeSet3/images,000128.png,smoke,train
SmokeSet3/images,000129.png,smoke,train
SmokeSet3/images,000130.png,smoke,train
SmokeSet3/images,000131.png,smoke,train
SmokeSet3/images,000132.png,smoke,train
SmokeSet3/images,000133.png,smoke,train
SmokeSet3/images,000134.png,smoke,train
SmokeSet3/images,000135.png,smoke,train
SmokeSet3/images,000136.png,smoke,train
SmokeSet3/images,000137.png,smoke,train
SmokeSet3/images,000138.png,smoke,train
